Ticker	Security	SEC_filings	GICS_Sector	GICS_Sub_Industry	Address_of_Headquarters	Date_first_added	CIK
AAL	American Airlines Group	reports	Industrials	Airlines	"Fort Worth, Texas"	3/23/15	6201
AAP	Advance Auto Parts	reports	Consumer Discretionary	Automotive Retail	"Roanoke, Virginia"	7/9/15	1158449
AAPL	Apple Inc.	reports	Information Technology	Computer Hardware	"Cupertino, California"	11/30/82	320193
ABC	AmerisourceBergen Corp	reports	Health Care	Health Care Distributors	"Chesterbrook, Pennsylvania"		1140859
ABT	Abbott Laboratories	reports	Health Care	Health Care Equipment	"North Chicago, Illinois"	3/31/64	1800
ADBE	Adobe Systems Inc	reports	Information Technology	Application Software	"San Jose, California"	5/5/97	796343
ADI	"Analog Devices, Inc."	reports	Information Technology	Semiconductors	"Norwood, Massachusetts"		6281
ADM	Archer-Daniels-Midland Co	reports	Consumer Staples	Agricultural Products	"Decatur, Illinois"	7/29/81	7084
ADS	Alliance Data Systems	reports	Information Technology	Data Processing & Outsourced Services	"Plano, Texas"	12/23/13	1101215
ADSK	Autodesk Inc	reports	Information Technology	Application Software	"San Rafael, California"	12/1/89	769397
AEE	Ameren Corp	reports	Utilities	MultiUtilities	"St. Louis, Missouri"	9/19/91	1002910
AEP	American Electric Power	reports	Utilities	Electric Utilities	"Columbus, Ohio"		4904
AFL	AFLAC Inc	reports	Financials	Life & Health Insurance	"Columbus, Georgia"		4977
AIG	"American International Group, I"	reports	Financials	Property & Casualty Insurance	"New York, New York"	3/31/80	5272
AIV	Apartment Investment & Mgmt	reports	Real Estate	REITs	"Denver, Colorado"		922864
AIZ	Assurant Inc	reports	Financials	Multi-line Insurance	"New York, New York"	4/10/07	1267238
AJG	Arthur J. Gallagher & Co.	reports	Financials	Insurance Brokers	"Itasca, Illinois"	5/31/16	354190
AKAM	Akamai Technologies Inc	reports	Information Technology	Internet Software & Services	"Cambridge, Massachusetts"	7/12/07	1086222
ALB	Albemarle Corp	reports	Materials	Specialty Chemicals	"Baton Rouge, Louisiana"	7/1/16	915913
ALK	Alaska Air Group Inc	reports	Industrials	Airlines	"Seattle, Washington"	5/13/16	766421
ALL	Allstate Corp	reports	Financials	Property & Casualty Insurance	"Northfield Township, Illin"		899051
ALXN	Alexion Pharmaceuticals	reports	Health Care	Biotechnology	"Cheshire, Connecticut"	5/25/12	899866
AMAT	Applied Materials Inc	reports	Information Technology	Semiconductor Equipment	"Santa Clara, California"		6951
AME	AMETEK Inc	reports	Industrials	Electrical Components & Equipment	"Berwyn, Pennsylvania"	9/23/13	1037868
AMG	Affiliated Managers Group Inc	reports	Financials	Asset Management & Custody Banks	"Beverly, Massachusetts"	7/1/14	1004434
AMGN	Amgen Inc	reports	Health Care	Biotechnology	"Thousand Oaks, California"	1/2/92	318154
AMP	Ameriprise Financial	reports	Financials	Asset Management & Custody Banks	"Minneapolis, Minnesota"		820027
AMT	American Tower Corp A	reports	Real Estate	Specialized REITs	"Boston, Massachusetts"	11/19/07	1053507
AMZN	Amazon.com Inc	reports	Consumer Discretionary	Internet & Direct Marketing Retail	"Seattle, Washington"	11/18/05	1018724
AN	AutoNation Inc	reports	Consumer Discretionary	Specialty Stores	"Fort Lauderdale, Florida"		350698
ANTM	Anthem Inc.	reports	Health Care	Managed Health Care	"Indianapolis, Indiana"		1156039
AON	Aon plc	reports	Financials	Insurance Brokers	"London, United Kingdom"		315293
APA	Apache Corporation	reports	Energy	Oil & Gas Exploration & Production	"Houston, Texas"		6769
APC	Anadarko Petroleum Corp	reports	Energy	Oil & Gas Exploration & Production	"The Woodlands, Texas"		773910
APD	Air Products & Chemicals Inc	reports	Materials	Industrial Gases	"Allentown, Pennsylvania"	4/30/85	2969
APH	Amphenol Corp	reports	Information Technology	Electronic Components	"Wallingford, Connecticut"	9/30/08	820313
ARNC	Arconic Inc	reports	Industrials	Aerospace & Defense	"New York, New York"	3/31/64	4281
